"%s Item(s)","%s条记录"
"&copy; 2008 Magento Demo Store. All Rights Reserved.","版权所有 &copy; 2008 Makingware 演示商店,由Makingware汉化"
"(Shift-)Click or drag to change value","(Shift-)点击或拖动来改变值"
"(ver. %s)","(ver. %s)"
"- Click on any of the time parts to increase it","- 点击任意时间部分增加值"
"- Hold mouse button on any of the above buttons for faster selection.","- 用鼠标按在任意按钮上来加速选择"
"- Use the %s buttons to select month","- 用 %s 按钮来选择月"
"- Use the %s, %s buttons to select year","- 用 %s, %s 按钮来选择年"
"- or Shift-click to decrease it","- 或切换点击来减少值"
"- or click and drag for faster selection.","- 或用点击和拖动来加速选择"
"-- Please Select --","-- 请选择 --"
"1 column","1 列"
"2 columns with left bar","左栏中的 2 列"
"2 columns with right bar","右栏中的 2 列"
"3 columns","3 列"
"help columns","帮助页面"
"article lists","文章列表"
"About the calendar","关于日历"
"All Empty Layout Pages","所有布局页面为空值"
"All One-Column Layout Pages","所有页面布局为单列"
"All Pages","所有页面"
"All Pages (Print Version)","所有页面 (打印版)"
"All Three-Column Layout Pages","所有页面为三列"
"All Two-Column Layout Pages (Left Column)","所有页面为两列(左栏)"
"All Two-Column Layout Pages (Right Column)","所有页面为两列(右栏)"
"Click <a href=""%s"">here</a> if nothing has happened","如果没有反应，请点击 <a href=""%s"">这里</a>"
"Close","关闭"
"Close Window","关闭窗口"
"DHTML Date/Time Selector","DHTML 日期/时间 选择器"
"Date selection:","日期选择:"
"Default Description","默认说明"
"Default welcome msg!","默认欢迎信息！"
"Display %s first","显示 %s 最先"
"Distributed under GNU LGPL. See %s for details.","分布在 GNU LGPL. See %s 的详细信息."
"Drag to move","用拖来移动"
"Empty","空值"
"For latest version visit: %s","最新的版本参看: %s"
"Free Shipping on orders over 50$","满50$免运费"
"Go Today","今天开始"
"Help Us to Keep Makingware Healthy","协助我们完善 Makingware"
"Interface Language","后台语言"
"Items %s to %s of %s total","<span>%s到%s</span>%s商品"
"Left Column","左栏"
"Main Content Area","主内容区"
"Next Page","下一页"
"Next month (hold for menu)","下一个月(hold for menu)"
"Next year (hold for menu)","下一年 (hold for menu)"
"Page Footer","页脚"
"Page Header","页眉"
"Page:"," "
"Prev. month (hold for menu)","上一个月(hold for menu)"
"Prev. year (hold for menu)","上一年(hold for menu)"
"Previous Page","上一页"
"Redirecting...","正在重定向页面..."
"Report All Bugs","报告所有错误"
"Right Column","右栏"
"Select Store","选择商店"
"Select Store:","选择商店:"
"Select date","选择日期"
"Show","显示"
"This is a demo store. Any orders placed through this store will not be honored or fulfilled.","这是演示商店，所有订单都不会被处理。"
"Time selection:","时间选择:"
"Time:","时间:"
"We detected that your JavaScript seem to be disabled.","我们发现您的JavaScript脚本已被禁用"
"Welcome, %s!","您好，%s!"
"You must have JavaScript enabled in your browser to utilize the functionality of this website.","必须在您的浏览器里加载JavaScript脚本，才能使用这个网站上的功能"
"Your Language","您的语言"
"Your Language:","您的语言："
"per page","每页"
"Makingware™ is a trademark of Makingware eBusiness Co. Ltd.","Makingware™是麦金电子商务的注册商标"
"Welcome to our store!","欢迎光临！"
