" The customer doesn\'t exist in the system anymore"," 该客户已不存在"
" [deleted]"," [已经删除]"
" and "," 以及 "
"%s (Default Template from Locale)","%s (设置区域模板)"
"%s cache type(s) disabled.","%s 缓存类型禁用."
"%s cache type(s) enabled.","%s 缓存类型激活."
"%s cache type(s) refreshed.","%s 缓存类型刷新."
"(Absolute path or Relative to Magento install root, ex. var/export)","(绝对路径或者相对于Makingware安装根分类，例如 var/export)"
"(For US 2-letter state names)","(2个字母的省份名(适用于美国))"
"(If left empty will be auto-generated)","(如果留空将自动生成)"
"(Leave empty for first spreadsheet)","(留空为第一个电子表)"
"(Products will be added/updated to this store if 'store' column is blank or missing in the import file.)","(如果导入文件中'商店'栏目为空或者缺少，商品将被增加/更新到该商店。)"
"(Shift-)Click or drag to change value","(Shift-)单击或者拖动以变更取值"
"(Starting with)","(开头)"
"(When 'No', only mapped fields will be imported. When mapping, use 'column1', 'column2', etc.)","(为'否'时，仅导入映射字段。当映射时，用'column1'、'column2'等。)"
"(You have to increase php memory_limit before changing this value)","（修改该值之前您必须先增加 php 的 memory_limit 设置值）"
"(\\t for tab)","(\\t 为制表符)"
"* - If indexing is in progress, it will be killed and new indexing process will start","* - 将终止已有的索引进程并启动新的索引进程。"
"- Click on any of the time parts to increase it","- 点击时间任意部分可以使其递增"
"- Hold mouse button on any of the above buttons for faster selection.","- 在上述按钮上长按鼠标以快速选择"
"- Use the %s buttons to select month","- 使用 %s 按钮选择月份"
"- Use the %s, %s buttons to select year","- 使用 %s, %s 按钮选择年份"
"- or Shift-click to decrease it","- 或者按住 Shift 并点击使其递减"
"- or click and drag for faster selection.","- 或者点击并拖动以快速选择。"
"-- Please Select --","-- 请选择 --"
"-- Please select --","-- 请选择 --"
"-- Please select a category --","-- 请选择分类 --"
"--Please Select--","--请选择--"
"1 Hour","1小时"
"12 Hours","12小时"
"12h AM/PM","12小时 AM/PM"
"2 Hours","2小时"
"24 Hours","24小时"
"24h","24小时"
"2YTD","去年开始"
"6 Hours","6 小时"
"<h1 class=""page-heading"">404 Error</h1><p>Page not found.</p>","<h1 class=""page-heading"">404 错误</h1><p>没找到页面。</p>"
"A new password was sent to your email address. Please check your email and click Back to Login.","一个新的密码已经发送到您的电子邮件。请查收您的电子邮件然后回到登陆页面"
"Abandoned Carts","无效的购物车"
"About the calendar","关于本日历"
"Access Denied.","访问被拒绝。"
"Access Deny","拒绝访问"
"Access denied","拒绝访问"
"Access denied.","拒绝访问."
"Account Created in:","帐号创建于："
"Account Created on (%s):","帐号创建于 (%s):"
"Account Created on:","帐号创建日期："
"Account Information","帐号信息"
"Account status","帐号状态"
"Account successfully saved","成功保存帐号"
"Action","操作"
"Actions","操作"
"Actions XML","操作 XML"
"Active","激活"
"Add","增加"
"Add Author","添加作者"
"Add Contents Path","添加内容路径"
"Add Exception","添加例外"
"Add Field Mapping","添加字段映射"
"Add Field with URL:","增加网址栏："
"Add New Image","增加新的图像"
"Add New Profile","增加新的配置文件"
"Add New Role","增加新的角色"
"Add New Template","增加新的模板"
"Add New URL Rewrite","增加新的网址重写"
"Add New User","增加新用户"
"Add New Variable","增加新变量"
"Add New osCommerce Profile","添加新的osCommerce角色扩展属性"
"Add PHP Extension dependency","添加PHP扩展依赖"
"Add Package dependency","添加安装包依赖"
"Add URL Rewrite","添加网址重写"
"Add URL Rewrite for a Category","添加分类网址重写"
"Add URL Rewrite for a Product","添加商品网址重写"
"Add after","在此后添加"
"Add new Role","增加新的角色"
"Additional Cache Management","添加额外的缓存管理"
"Address Type:","地址类型："
"Admin","管理员"
"Advanced Admin Section","高级管理员单元"
"Advanced Profiles","高级配置文件"
"Advanced Section","高级单元"
"All","所有"
"All Allowed Countries","所有允许国家"
"All Cache","所有缓存"
"All Files","所有文件"
"All Reviews","所有评论"
"All Store Views","所有商店界面"
"All Tags","所有标签"
"All Websites","所有网站"
"All countries","所有国家"
"All fields","所有栏目"
"All possible rates were fetched, click on ""Save"" to apply","已获取所有可能的汇率，点击""保存""接受"
"All rates were fetched, click on ""Save"" to apply","已获取所有汇率，点击""保存""接受"
"All valid rates successfully saved","成功保存所有有效的汇率"
"Amounts","金额"
"Any","任意"
"Any Attribute Set","任意属性组"
"Any Group","任意分组"
"Any Status","任意状态"
"Any Store","任意商店"
"Any Type","任意类型"
"Any Visibility","任意可见性"
"Api Key","Api 密钥"
"Api Key Confirmation","Api 密钥确认"
"Archive file name:","存档文件名："
"Are you sure that you want to delete this template?","您确认要删除该模板吗？"
"Are you sure that you want to strip tags?","您确认要删除标签吗？"
"Are you sure you want to do this?","您确认要这么做吗？"
"Area","区域"
"Assigned","指定"
"Associated Tags","相关标签"
"Attribute Set Name:","属性名设置:"
"Attribute set was successfully removed.","成功删除属性组。"
"Attributes","属性"
"Authors","作者"
"Available Products","可用商品"
"Average Order Amount","平均每个订单价格"
"Average Orders","订单平均金额"
"Back","返回"
"Back to Login","返回登录"
"Backup","备份"
"Backup record was deleted","备份记录已删除"
"Backup successfully created","成功备份"
"Backups","备份"
"Base currency","基准货币"
"Bcc","暗送"
"Bestsellers","畅销商品"
"Big Image","大图"
"Block Information","方框信息"
"Both (without and with tax)","同时 (无论是否含杂费)"
"Both IPN and PDT","IPN 和 PDT"
"Browse Files...","浏览文件..."
"Bundle Items","包裹物品"
"Bundle with dynamic pricing cannot include custom defined options. Options will not be saved.","具有动态价格的包裹不能含有自定选项。选项设置不会被保存。"
"CMS","内容管理"
"CRITICAL","重要"
"CSV","CSV"
"CSV / Tab separated","CSV/Tab 分割"
"Cache Control","缓存管理"
"Cache Control (beta)","缓存管理 (beta)"
"Cache Management","缓存管理"
"Cache Type","缓存类型"
"Cache storage was flushed successfully.","缓存刷新成功."
"Can not add new comment.","无法添加新评论"
