"Makingware","麦金电商"
"makingware","麦金电商"
"%s","%s"
"%s already exist","%s 已存在"
"%s already exists","%s 已存在"
"-- Please Select --","-- 请选择 --"
"Add Block Names to Hints","在提示信息中增加区块名称"
"Add Secret Key to URLs","增加密钥到URL地址"
"Add Store Code to Urls","网址中加入商店码"
"Admin","后台"
"Admin Base URL","管理基准 URL"
"Admin User Emails","管理用户邮件"
"Advanced","高级"
"Allow countries","允许国家"
"Allowed IPs (comma separated)","允许的IP地址（多个记录用逗号分开）"
"Allows Customers to stay logged in when switching between different Stores.","使客户能够留在登录时不同的商店之间切换."
"Alternative text for Next Link in pagination menu. If empty, default arrow image will used","替代文字在分页菜单下一个环节。如果为空，将使用默认的箭头形象"
"Alternative text for Previous link in pagination menu. If empty, default arrow image will used","替代文字在分页菜单上的联系。如果为空，将使用默认的箭头形象"
"Anchor Text for Next","锚文本的下一步"
"Anchor Text for Previous","锚文本的上一步"
"Are you sure?","确定?"
"Back","返回"
"Backup options","备份"
"Base JavaScript URL","JavaScript网址"
"Base Link URL","链接网址"
"Base Media URL","媒体网址"
"Base Skin URL","皮肤网址"
"Base URL","网址"
"Before modifying the store view code please make sure that it is not used in index.php","在修改商店界面代码前，请确认没有在 index.php 中使用"
"Before modifying the website code please make sure that it is not used in index.php","在修改网站代码前，请确认没有在 index.php 中使用"
"Block with name ""%s"" already exists","Block""%s""已存在"
"Browser Capabilities Detection","浏览器功能检测"
"CSS Settings","CSS设置"
"Cache Storage Management","缓存存储管理"
"Cache storage can contain another data. Are you sure that you want flush it?","缓存储存可以包含其他数据. 你确定刷新?"
"Can't retrieve request object","无法获取请求的对象"
"Can\'t retrieve entity config: %s","无法获取实体配置：%s"
"Cancel","取消"
"Cannot complete this operation from non-admin area.","无法在非管理区完成此操作。"
"Card type doesn\'t match credit card number","信用卡类型与信用数字不符"
"Category object is required for determining product request path","确定商品请求路径需要分类对象"
"Code","代码"
"Configuration","配置"
"Controller file was loaded but class does not exist","控制文件已加载但类不存在"
"Cookie Domain","Cookie域"
"Cookie Lifetime","Cookie时效"
"Cookie Path","Cookie 路径"
"Copyright","版权信息"
"Countries options","国家选项"
"Create Store","新建商店"
"Create Store View","新建商店界面"
"Create Website","新建网站"
"Credit card number doesn\'t match credit card type","信用卡数字与信用卡类型不符"
"Current package name","当前安装包名称"
"Custom Design","选择模板"
"Custom Variables","自定义变量"
"Custom admin URL","自定义管理 URL"
"Custom email 1","自定义邮件一"
"Custom email 2","自定义邮件二"
"Customer support","客户服务"
"Refresh Index","刷新索引"
"Refresh Cache","刷新缓存"
"Date From","开始日期"
"Date To","结束日期"
"Date/time format ""%s"" is not supported.","不支持日期/时间格式 ""%s""."
"Debug","调试"
"Default","默认"
"Default Description","默认描述"
"Default Keywords","默认关键字"
"Default Pages","默认页面"
"Default Robots","默认Robots设置"
"Default Store","默认商店"
"Default Store View","商店界面"
"Default Title","默认标题"
"Default country","默认国家"
"Default no-route url","默认缺少页面"
"Default web url","默认网址"
"Delete","删除"
"Delete Store","删除商店"
"Delete Store View","删除商店界面"
"Delete Website","删除网站"
"Deleting a %1$s will not delete the information associated with the %1$s (e.g. categories, products, etc.), but the %1$s will not be able to be restored. It is suggested that you create a database backup before deleting the %1$s.","删除%1$s不会删除与%1$s相关的信息（例如类别，商品等），但是%1$s被删除后无法恢复。建议删除之前备份下数据库。"
"Design","界面模版"
"Design Change","界面模版"
"Developer","开发者选项"
"Developer Client Restrictions","开发者客户端限制"
"Disable email communications","禁用电子邮件"
"Disable modules output","模块配置"
"Display demo store notice","展示演示店铺提示"
"Duplicate Of Template Code","模板代码重复"
"Edit Design Change","修改界面模版"
"Edit Store","修改商店"
"Edit Store View","修改商店模版"
"Edit Website","修改网站"
"Empty identifier field name","标识字段名为空"
"Empty main table name","主数据表名为空"
"Enable Prototype Deprecation Log","启动原型折旧日志"
"Enabled","启用"
"Enabled for Admin","在管理界面中启用"
"Enabled for Frontend","在前台启用"
"Error in file: ""%s"" - %s","文件：""%s"" - %s 错误"
"Error while saving. Please try again later.","保存时出错，请稍后再试。"
"Error: Passwords do not match","错误：两次密码输入不一致。"
"Exceptions Log File Name","异常日志文件名"
"First Day of Week","周起始日"
"Flush Cache Storage","刷新缓存储存"
"Flush Magento Cache","刷新Makingware缓存"
"Footer","页脚"
"Forgot Password Email Sender","忘记密码的发件人"
"Forgot Password Email Template","忘记密码的邮件模板"
"General","基本"
"General Settings","基本设置"
"General contact","联系人"
"Global","全站"
"HTML Head","HTML 头信息"
"Header","页眉"
"Host","主机"
"How many Links to display at once","有多少连接显示一次"
"Id path for specified store","指定商店的编号路径"
"If the Current Frame Position does not cover Utmost Pages, will render Link to Current Position plus/minus this Value","如果当前帧的位置并不包括至上页, 将提供链接到当前位置正/负值"
"Incorrect credit card expiration date","信用卡失效日期有误"
"Invalid base url type","基准网址类型无效"
"Invalid block name to set child %s: %s","无效块名称设置子 %s: %s"
"Invalid block type: %s","block类型不正确：%s"
"Invalid block: %s","block不正确：%s"
"Invalid layout update argument, expected Mage_Core_Model_Layout_Element","版面更新参数不正确，必须是 Mage_Core_Model_Layout_Element"
"Invalid layout update handle","版面更新句柄不正确"
"Invalid messages storage ""%s"" for layout messages initialization","版面初始信息的""%s""信息存储不正确"
