"ID","编号"
"Bill","发票"
"Bills","发票"
"Billed At","开票日期"
"Order Bills","发票"
"Bill Information","发票信息"
"Bill Management","发票管理"
"Manage Bills","管理发票"
"Create Bill","新建发票"
"Add New Bill","新建发票"
"Save Bill","保存发票"
"Delete Bill","删除发票"
"Delete","删除"
"Invoiced At","开具时间"
"Status","状态"
"Type","类型"
"Content","内容"
"Title","抬头"
"Price","金额"
"Account","银行帐号"
"Address","银行帐号"
"Action","操作"
"Phone","电话"
"Tax Payer ID","纳税人编号"
"Bill was successfully saved","发票已保存"
"Bill was deleted","发票已删除"
"Please select bill(s)","请先选择发票"
"Order ID","订单编号"
"Bank","银行"
"Bill ID","发票编号"
"Bill Increment ID","实体发票编号"
