"""%s"" contains not only digit characters.","""%s"" contains not only digit characters."
"""%s"" does not fit the entered date format.","""%s"" does not fit the entered date format."
"""%s"" exceeds the allowed file size.","""%s"" exceeds the allowed file size."
"""%s"" exceeds the allowed length.","""%s"" exceeds the allowed length."
"""%s"" has not only alphabetic and digit characters.","""%s"" has not only alphabetic and digit characters."
"""%s"" has not only alphabetic characters.","""%s"" has not only alphabetic characters."
"""%s"" height exceeds allowed value of %s px.","""%s"" height exceeds allowed value of %s px."
"""%s"" invalid type entered.","""%s"" invalid type entered."
"""%s"" is a required value.","""%s""必填"
"""%s"" is an empty string.","""%s"" is an empty string."
"""%s"" is not a valid URL.","""%s"" is not a valid URL."
"""%s"" is not a valid date.","""%s"" is not a valid date."
"""%s"" is not a valid email address.","""%s"" is not a valid email address."
"""%s"" is not a valid file","""%s"" is not a valid file"
"""%s"" is not a valid file extension.","""%s"" is not a valid file extension."
"""%s"" is not a valid file.","""%s"" is not a valid file."
"""%s"" is not a valid hostname.","""%s"" is not a valid hostname."
"""%s"" is not a valid image format","""%s"" is not a valid image format"
"""%s"" length must be equal to or greater than %s characters.","""%s""必须大于%s位字符"
"""%s"" length must be less than or equal to %s characters.","""%s"" length must be less than or equal to %s characters."
"""%s"" width exceeds allowed value of %s px.","""%s"" width exceeds allowed value of %s px."
"* Required Fields","必填栏目"
"A new password was sent","新的密码已经发出"
"A new password has been sent.","新的密码已经发出"
"Account Dashboard","帐户首页"
"Account Information","个人信息"
"Account Sharing Options","帐户共享选项"
"Account information was successfully saved","成功保存帐户信息"
"Action","操作"
"Add New Address","添加新的收货地址"
"Add New Customer","添加新的客户"
"Add New Customer Group","增加新的客户分组"
"Added From","加自"
"Additional Address Entries","备用地址"
"Address","地址"
"Address Book","收货地址"
"Address Information","地址信息"
"Addresses","地址"
"Admin","管理员"
"Appellation","称谓"
"All","所有"
"All Store Views","所有商店界面"
"All countries","所有国家"
"Always optional","总是可选"
"Amount","金额"
"Approved","已批准"
"Not Approved","未批准"
"Are you sure that you want to remove this item?","您确认要删除该项目吗？"
"Are you sure you want to cancel adding of this address?","您确认要取消增加该地址吗？"
"Are you sure you want to delete this address?","您确认要删除该地址吗？"
"Are you sure?","您确定吗？"
"Array of Entity collections is expected","需要实体组合的数组"
"Assign a Customer Group","指定客户分组"
"Average Sale","平均销售"
"Back","返回"
"Back to Login","返回登录"
"Bad request.","错误的请求。"
"Bill to Name","账单收件人"
"Bought From","购买自"
"By creating an account with our store, you will be able to move through the checkout process faster, store multiple shipping addresses, view and track your orders in your account and more.","注册您自己的帐户，结帐方便迅速，而且可以保存多个收货地址、查看订单状态等。"
"CSV","CSV"
"Can\'t save address","无法保存地址"
"Can\'t save customer","无法保存客户"
"Cannot save the customer.","无法保存客户."
"Can\'t share customer accounts global. Because some customer accounts with same emails exist on multiple websites and cannot be merged.","客户帐户无法全局共享，因为部分客户帐户在在多个网站使用相同的电子邮件，记录无法合并。"
"Cancel","取消"
"Change Account Password","修改帐户密码"
"Change Password","修改密码"
"Change Shipping Address","修改收货地址"
"Area","地区"
"City","城市"
"Company","公司"
"Config","设置"
"Confirm New Password","确认新的密码"
"Confirm Password","确认密码"
"Confirmation Link Email","确认链接邮件"
"Confirmed","已验证"
"Contact Information","联系信息"
"Continue Shopping","继续购物"
"Country","国家"
"Create","创建"
"Create New Account Options","新帐户选项"
"Create New Customer Account","新建客户帐户"
"Create Order","创建订单"
"Create an Account","注册帐户"
"Create customer","创建客户帐户"
"Create customer address","创建客户地址"
"Current Password","当前密码"
"Customer","客户"
"Customer Addresses","客户地址"
"Customer Api","客户Api"
"Customer Configuration","客户设置"
"Customer Group","客户分组"
"Customer Group was successfully deleted","成功删除客户分组"
"Customer Group was successfully saved","成功保存客户分组"
"Customer Groups","客户分组"
"Customer Information","客户信息"
"Customer Login","用户名"
"Customer Since","注册日期"
"Customer View","客户界面"
"Customer collection expected","需要客户组合"
"Customer email already exists","客户的邮件地址已存在"
"Customer website id must be specified, when using website scope.","使用网站范围时必须指定网站 id."
"Customer will stay on the current page if ""No"" is selected","如果选择"No"，客户将停在当前页"
"Customers","客户"
"Customers Only","仅限客户"
"Customers Section","客户单元"
"DD","日"
"Date","日期"
"Date Added","添加日期"
"Date of Birth","出生日期"
"Date of Birth is required.","必须填写出生日期。"
"Day","日"
"Days in Wishlist","收藏的天数"
"Default Addresses","默认地址"
"Default Email Domain","默认邮件域名"
"Default Group","默认分组"
"Default Shipping Address","默认地址"
"Default Welcome Email","默认欢迎邮件"
"Delete","删除"
"Delete Address","删除地址"
"Delete Customer","删除客户"
"Delete Customer Group","删除客户分组"
"Delete customer","删除客户"
"Delete customer address","删除客户地址"
"Deleted Stores","删除商店"
"Details","详细"
"Disabled","未激活"
"Edit","修改"
"Edit Account Info","修改帐户信息"
"Edit Account Information","修改帐户信息"
"Edit Address","修改地址"
