"-- Please Select --","-- 请选择 --"
"Account Registration","帐户登录"
"All fields of script types have to be filled.","所有文本框都必填"
"Attributes","属性"
"Category View Optimization","目录查看优化"
"Control Script","控制文字"
"Conversion Page","对话页"
"Conversion Page URL","对话页URL"
"Conversion Script","对话文本"
"Enable","激活"
"Google Optimizer Scripts","Google优化文本"
"Google Website Optimizer","Google 网站优化"
"Install Scripts","安装文本"
"Limit is 8 attributes only.","属性限制数量为8"
"Multi Address Checkout","多个地址结帐"
"One Page Checkout","一页结帐"
"Order Success (Multi Address Checkout)","订单成功（多地址结帐）"
"Order Success (One Page Checkout)","订单成功（一页结帐）"
"Original Page","原始页"
"Other","其他"
"Page Type","页面类型"
"Page View Optimization","页面查看优化"
"Please copy and paste this value to experiment edit form","请复制并粘贴这个值从而测试编辑表格"
"Please select store view to see the URL","请选择网站版本从而查看网址"
"Product View Optimization","商品查看优化"
"Scripts Install URL","文本安装网址"
"Shopping Cart","购物车"
"Tracking Script","跟踪文本"
"Use Default","使用默认设置"
"Use Default Values","使用默认值"
"Variant Page","变体页面"
