"%s - Discounts and Coupons","%s - 折扣和优惠券"
"%s - Special Discounts","%s - 特价"
"%s RSS Feed","%s RSS 订阅"
"%s has reached a quantity of %s.","%s的数量为%s。"
"%s\'s Wishlist","%s的收藏"
"Cannot retrieve the wishlist","无法读取收藏"
"Catalog","分类"
"Category Feeds","订阅分类"
"Comment: %s<br/>","评论：%s<br/>"
"Coupons/Discounts","优惠券/折扣"
"Current Status: %s<br/>","当前状态：%s<br/>"
"Customer Name: %s","客户名称：%s"
"Customer Order Status Notification","客户订单状态通知"
"Details for %s #%s","%s 编号%s 的详情"
"Discount ","折扣"
"Enable RSS","启用 RSS"
"Error in processing xml. %s","处理 xml. %s 出错"
"From:","从："
"Get Feed","获取 Feed"
"Gift Message","礼物留言"
"Grand Total","总额"
"Low Stock Products","低库存商品"
"Message:","留言:"
"Miscellaneous Feeds","杂项订阅"
"New Orders","新订单"
"New Products","新商品"
"New Products from %s","来自%s的新商品"
"Notified Date: %s<br/>","通知日期：%s<br/>"
"Order # %s Notification(s)","订单 %s 通知"
"Order #%s created at %s","订单号 %s 订购日期 %s"
"Pending product review(s)","待核商品评论"
"Product: ""%s"" review By: %s","商品：""%s"" 评论人：%s"
"Product: <a href=""%s"">%s</a> <br/>","商品：<a href=""%s"">%s</a> <br/>"
"Products tagged with %s","商品标记为%s"
"Purchased From: %s","购自：%s"
"RSS","RSS"
"RSS Feeds","RSS 订阅"
"RSS testing","RSS 测试"
"Review: %s <br/>","评论：%s <br/>"
"Rss Config","RSS 设置"
"Rss Feeds Section","Rss 订阅选择"
"Shipping & Handling","配送处理"
"Special Products","特价商品"
"Special/Discount Products","特价/折价商品"
"Store: %s <br/>","商店：%s <br/>"
"Subtotal","小计"
"Summary of review: %s <br/>","评论：%s <br/>"
"Tags Products","标记商品"
"Tax","税"
"There are no Rss Feeds","没有 Rss 订阅记录"
"There are no Rss Feeds.","没有RSS订阅记录。"
"To:","发给:"
"Top Level Category","顶级分类"
"Total Products: %s","商品总额: %s"
"Total: %s<br/>","总额: %s<br/>"
"Wishlist","收藏"
"click <a href=""%s"">here</a> to view the review","点<a href=""%s"">这里</a>查看评论"
