"2-pixel perimeter around the header space.","在头部空白处2个像素."
"3D Secure Card Validation","3D安全验证"
"<a href=""http://www.magentocommerce.com/paypal"" target=""_blank"">注册PayPal商家账户!</a>","<a href=""http://www.makingware.com"" target=""_blank"">Sign up for PayPal Merchant Account now!</a>"
"<a href=""http://www.magentocommerce.com/paypal"" target=""_blank"">注册PayPal商家账户!</a><br />
                    <a href=""http://www.paypal.com/en_US/m/demo/18077_ec.html"" target=""_blank"">查看演示</a>","<a href=""http://www.makingware.com"" target=""_blank"">注册PayPal商家账户!</a><br />
                    <a href=""http://www.paypal.com/en_US/m/demo/18077_ec.html"" target=""_blank"">See Demo</a>",<a href=""http://www.paypal.com/en_US/m/demo/18077_ec.html"" target=""_blank"">查看演示</a>"
"API Password","API 密码"
"API Signature","API 签名"
"API Username","API用户名"
"Acceptance Mark","授权标记"
"Acceptance Mark Image","授权标记图片"
"Address Verification System Response","地址验证响应系统"
"All the address information matched","匹配所有的购物信息"
"Allowable values: ""paypal"", ""primary"" (default), your_custom_value (a custom payment page style from your merchant account profile).","允许值: ""paypal"", ""主要的"" (默认), 你的自定义值 (自定义付款从您的商家账户的个人资料设置)."
"Allowed Credit Card Types","允许的信用卡类型"
"Attempted Authentication, Bad Result","认证时,返回数据失败"
"Attempted Authentication, Good Result","验证通过"
"Authenticated, Bad Result","验证身份失败"
"Authenticated, Good Result","通过身份验证"
"Authorization","授权"
"Authorization expired.","授权过期."
"Authorization transaction is required to void.","授权交易无效."
"Authorization was voided by merchant.","授权账户无效."
"Authorize and Capture","授权并获取"
"Business Account","公司帐号"
"Buttons Flavor (Website Payments Pro)","按钮风格(Website Payments Pro)"
"CVV2 Check Result by PayPal","CVV2 PayPal检查结果"
"Centinel Api Custom URL","Centinel Api Custom URL"
"Change Payment Method","更改支付方式"
"Change Shipping Address","更改运输地址"
"Countries Payment Applicable From","适合付款的国家"
"Customer failed to pay.","客户付款失败."
"Customer used non-confirmed address.","客户地址未经确认."
"Debit or Credit Card","借方或信用卡"
"Debug API Calls","调试API调用"
"Debug Interactions with PayPal","调试与Paypal交互"
"Discount","折扣"
"Dynamic","动态的"
"Edit Shopping Cart","编辑购物车"
"Enable PayPal Guest Checkout","允许paypal游客结账"
"Enabled","启用"
"Exact Match. Address and Postal Code. International","精确匹配. 地址和邮政编码.国际的"
"Exact Match. Address and Postal Code. UK-specific","精确匹配. 地址和邮政编码.英国专有"
"Exact Match. Address and nine-digit ZIP code","精确匹配. 地址和九位数邮政编码"
"Explanation: %s.","解释: %s."
"Express Checkout and Order have been cancelled.","快速结账和订单已被取消."
"Express Checkout has been cancelled.","快速结账已被取消."
"Header Background Color","头部背景颜色"
"Header Border Color","头部Border颜色"
"Header Image URL","头部图片URL"
"IPN verification ""%s"".","IPN认证 ""%s""."
"Impossible to issue a refund transaction, because capture transaction does not exist.","退款交易不得争议,因为捕获的交易不存在.."
"Incl. Tax","含税"
"Issuer Liability","Issuer Liability"
"Items in Your Shopping Cart","购物车里的物品"
"Last Corellation ID","Last Corellation ID"
"Last Transaction ID","最后交易ID"
"Maestro/Solo","Maestro/Solo"
"Matched (CVV2)","匹配的(CVV2)"
"Matched (CVV2CSC)","匹配的(CVV2CSC)"
"Matched Address only (no ZIP)","只匹配地址(没有邮政编码)"
"Matched Address only (no ZIP). International","只匹配地址(没有邮政编码).国际的"
"Matched Postal Code only (no Address)","只有邮政编码匹配(不匹配地址)"
"Matched five-digit ZIP only (no Address)","只匹配五位数邮编(不匹配地址)"
"Matched whole nine-didgit ZIP (no Address)","匹配九位数邮编(没有地址)"
"Merchant Email.","商务邮件."
"Merchant Liability","Merchant Liability"
"Merchant Protection Eligibility","Merchant Protection Eligibility"
"Merchant account doesn\'t have a withdrawal mechanism. Merchant must manually accept or deny this payment from your Account Overview.","Merchant account doesn\'t have a withdrawal mechanism. Merchant must manually accept or deny this payment from your Account Overview."
"Merchant account is not verified.","Merchant account is not verified."
"Merchant denied this pending payment.","Merchant denied this pending payment."
"Merchant must upgrade account to Business or Premier status.","Merchant must upgrade account to Business or Premier status."
"Multi-currency issue. Merchant must manually accept or deny this payment from PayPal Account Overview.","Multi-currency issue. Merchant must manually accept or deny this payment from PayPal Account Overview."
"N/A. Address not checked, or acquirer had no response. Service not available","N/A. Address not checked, or acquirer had no response. Service not available"
"N/A. Global Unavailable","N/A. Global Unavailable"
"N/A. International Unavailable","N/A. International Unavailable"
"N/A. Merchant has indicated that CVV2 is not present on card","N/A. Merchant has indicated that CVV2 is not present on card"
"N/A. No response","N/A. No response"
