"Cron (Scheduled Tasks) - all the times are in minutes","Cron (计划任务) – 时间单位为分钟"
"Daily","每日"
"Failure history lifetime","失败记录时间"
"For correct URLs generated during cron runs please make sure that Web &gt; Secure and Unsecure Base URLs are explicitly set.","为了在cron运行过程中产生正确的网址，请确认网络 > 安全和不安全基准网址已设置."
"For correct URLs generated during cron runs please make sure that Web > Secure and Unsecure Base URLs are explicitly set.","为了在cron运行过程中产生正确的网址，请确认网络 > 安全和不安全基准网址已设置."
"Generate schedules every","产生时间表每"
"History cleanup every","清除记录每"
"Invalid callback: %s::%s does not exist","错误的回叫接口: %s::%s 不存在"
"Invalid model/method definition, expecting ""model/class::method"".","错误的 model/method 定义，正确格式为 ""model/class::method""."
"Missed if not run within","错过如果不运行于"
"Monthly","每月"
"No callbacks found","未发现回叫接口"
"Schedule ahead for","计划提前"
"Success history lifetime","成功记录时间"
"Too late for the schedule","计划来不及执行"
"Unable to save Cron expression","无法保存Cron的表达式"
"Unknown error","未知错误"
"Weekly","每周"
"Generate Schedules Every","产生时间表每"
"Schedule Ahead for","计划提前"
"Missed if Not Run Within","错过如果不运行于"
"History Cleanup Every","清除记录每"
"Success History Lifetime","成功记录时间"
"Failure History Lifetime","失败记录时间"
