"%s was successfully added to your shopping cart.","成功将 %s 加入购物车."
"%s was added to your shopping cart.","%s 加入到购物车."
"&laquo; Back to Billing Information","&laquo; 返回账单信息"
"&laquo; Back to Select Addresses","&laquo; 返回选择地址"
"&laquo; Back to Shopping Cart","&laquo; 返回购物车"
"* Required Fields","*必填栏目"
"Add New Address","增加新地址"
"Add New Condition","添加新条款"
"Add to Cart","加入购物车"
"Add to Compare","加入比较"
"Add to Wishlist","加入收藏"
"Address","地址"
"Address %s of %s","第%s个地址，共%s个"
"After adding a product redirect to shopping cart","加入商品后转到购物车"
"Allow Guest Checkout","允许访客结帐"
"Already registered?","已注册？"
"An error occurred in the process of payment","支付过程发生错误"
"Apply Coupon","使用优惠券"
"Are you sure you would like to remove this item from the shopping cart?","您确认要从购物车中删除该商品吗？"
"Back","返回"
"Back to Shipping Information","返回配送信息"
"Based on your selection, you may be interested in the following items:","基于您的选择，您也许对以下商品感兴趣："
"Cannot add the item to shopping cart.","不能添加购物车."
"Can not add item to shopping cart","无法加入购物车"
"Can not apply coupon code.","无法使用优惠券。"
"Can\'t open overview page","无法打开概述页面"
"Please enter your coupons","请输入您的优惠券"
"Confirm Coupons","确认优惠券"
"Cancel Coupon","取消优惠券"
"Cannot remove item","无法删除商品"
"Cannot update shopping cart","无法更新购物车"
"Card Verification Number Visual Reference","信用卡校验码可视参照"
"Cart Subtotal:","购物车小计："
"Change","修改"
"Change Shipping Address","修改配送地址"
"Checkbox text","选框提示文字"
"Checkout","结 帐"
"Checkout Login","登录结账"
"Checkout Conditions","购买条款"
"Checkout Options","结帐选项"
"Checkout Section","结账单元"
"Checkout Terms and Conditions","购买条款"
"Checkout as Guest","以访客身份结帐"
"Checkout as a Guest or Register","以访客身份结帐或注册账号"
"Checkout method","结帐方式"
"Checkout with Multiple Addresses","使用多个地址结帐"
"Visitors directly buy","访客直接购买"
"Area","地区"
"City","城市"
"Click <a href=""%s"" onclick=""this.target='_blank'"">here to print</a> a copy of your order confirmation.","点击 <a href=""%s"" onclick=""this.target='_blank'"">这里打印</a> 您的订单确认信息。"
"Close","关闭"
"Company","公司"
"Condition Name","条款名称"
"Condition was successfully deleted","成功删除条款"
"Condition was successfully saved","成功保存条款"
"Configurable product image","可设置商品的图片"
"Confirm Password","确认密码"
"Content","内容"
"Content Height","内容显示高度"
"Content Height (css)","内容显示高度 (css)"
"Continue","继续"
"Continue Shopping","继续购物"
"Continue to Shipping Information","继续配送信息"
"Continue to Review Your Order","继续查看订单"
"Continue to Shipping Information","继续配送信息"
"Country","国家"
"Coupon code ""%s"" is not valid.","优惠券/礼品券代码""%s""不正确"
"Coupon code ""%s"" was applied successfully.","成功使用优惠券/礼品券代码 ""%s""."
"Coupon code was canceled successfully.","成功取消优惠券/礼品券代码。"
"Create Shipping Address","创建配送地址"
"Customer Address is not valid.","客户地址无效。"
"Data saving problem","保存数据错误"
