"Auction","拍卖"
"Auction Set","拍卖设置"
"Auction Product","拍卖商品"
"Auction Products","拍卖商品"
"New Record","添加拍卖商品"
"Edit Record '%s'","编辑拍卖商品 '%s'"
"Is Active","商品状态"
"Status","拍卖状态"
"Auction due time","拍卖结束后预留时长"
"The unit is hour, keep empty or 0 is the default for a day.","单位为小时,保留空或者0则默认为一天(24小时)."
"Auction refresh interval","拍卖信息刷新间隔"
"The unit is seconds, keep empty or 0 is the default for a minute.","单位为秒,保留空或者0则默认为一分钟(60秒)."
"Current Customer Name","当前顾客姓名"
"Current Price","当前价格"
"Start Price","起拍价"
"Min Price","最低加价"
"Max Price","最高加价"
"Describe","拍卖商品描叙"
"Start Date","拍卖开始时间"
"End Date","拍卖结束时间"
"Minutes","分钟"
"DateTime format error.","日期/时间格式错误."
"Waiting for auction","等待拍卖"
"In the auction","正在拍卖"
"Auction end","拍卖结束"
"Auction end (not order)","拍卖结束(未下单)"
"Auction end (already order)","拍卖结束(已下单)"
"Overtime cancel","超时取消"
"The auction has yet to start.","拍卖活动还未开始,请等待..."
"Auction activity has ended.","拍卖活动已结束."
"Invalid query.","无效的请求."
"Invalid price.","无效的价格."
"Please login and then bid auction.","请登录后再出价竞拍."
"Please input the correct amount, such as 100.00","请输入正确的金额, 例如 100.00"
"Last offer must be greater than the previous bid.","最后出价必须大于上一次出价."
"Last offer not less than the minimum price auction.","最后出价不能小于拍卖最低加价."
"Last offer not greater than the highest price auction.","最后出价不能大于拍卖最高加价."
"Please do not bid again.","请不要再次出价."
"Auction start time + continue date must be greater than the auction end time.","拍卖起始时间+持续时间必须大于拍卖结束时间."
"Please logined on to checkout.","请登录后再结账."
"I'm sorry, the auction goods can't modify quantity.","对不起,拍卖商品不能修改数量."
"I'm sorry, the auction activity is not over yet, can't modify the goods.","对不起,拍卖活动结束前不能修改该商品."
"I'm sorry, the auction activity is not over yet, can't delete the goods.","对不起,拍卖活动结束前不能删除该商品."
"Save pay equal attention to take","保存并重拍"
"The record has been saved.","记录已保存."
"The record has been deleted.","记录已删除."
"Invalid auction product.","无效的拍卖商品."
"Invalid auction goods or the goods auction has ended.","无效的拍卖商品或该商品拍卖已结束."
"Auction success send email settings","拍卖成功邮件发送设置"
