" in rows: "," in rows: "
"-- Please Select --","-- 请选择 --"
"Products","商品"
"Customers","客户"
"Adapter must be an instance of Mage_ImportExport_Model_Import_Adapter_Abstract","适配器必须是 Mage_ImportExport_Model_Import_Adapter_Abstract 的一个实例"
"Adapter type must be a non empty string","适配器类型必须是一个非空字符串"
"Can not determine attribute filter type","不能确定属性过滤器类型"
"Can not find required columns: %s","找不到必须包含的数据列: %s"
"Can not get autoincrement value","获取不到递增值"
"Check Data","检查数据"
"Column names has duplicates","列名称有重复"
"Column names is empty or is not an array","列名称是空的或不是一个数组"
"Column names: ""%s"" are invalid","列名称: ""%s"" 无效"
"Continue","继续"
"Data is invalid or file is not uploaded","数据是无效的或没有上传文件"
"Destination directory is not writable","目标目录不可写"
"Destination file is not writable","目标文件不可写"
"Destination file path must be a string","目标文件路径必须是一个字符串"
"Entity Attributes","实体属性"
"Entity adapter object must be an instance of Mage_ImportExport_Model_Import_Entity_Abstract","实体适配器对象必须是 Mage_ImportExport_Model_Import_Entity_Abstract 的实例"
"Entity is unknown","未知的实体"
"Entity type model must be an instance of Mage_ImportExport_Model_Export_Entity_Product_Type_Abstract","实体类型模型必须是 Mage_ImportExport_Model_Export_Entity_Product_Type_Abstract 的实例"
"Entity type model must be an instance of Mage_ImportExport_Model_Import_Entity_Product_Type_Abstract","实体类型模型必须是 Mage_ImportExport_Model_Import_Entity_Product_Type_Abstract 的实例"
"Error in data structure: behaviors are mixed","错误的数据结构:行为混在一起"
"Error in data structure: entity codes are mixed","错误的数据结构:实体编码混合"
"Export","导出"
"Export Settings","导出设置"
"Export FAQ","导出 FAQ"
"FAQ","FAQ"
"Export File Format","导出文件格式"
"File does not contain data. Please upload another one","文件不包含数据.请上传另一个"
"File format is unknown","未知的文件格式"
"File is partially valid, but import is not possible","文件部分是有效的,但是不能导入"
"File is valid, but import is not possible","文件是有效的,但是不能导入"
"File is totally invalid. Please fix errors and re-upload file","无效的文件。请修复错误和重新上传文件"
"File is valid! To start import process press ""Import"" button","有效的文件!请点击""导入""按钮开始导入"
"Header column names already set","标题列名称已经设置"
"Import","导入"
"Import Behavior","导入行为"
"Append Complex Data","添加数据"
"Replace Existing Complex Data","覆盖现有的数据"
"Delete Entities","删除实体"
"Import / Export FAQ (Frequently Asked Questions)","导入 / 导出 FAQ (常见问题)"
"Import FAQ","导入 FAQ"
"Import Settings","导入设置"
"Import successfully done.","成功导入."
"Import/Export","导入/导出"
"In/Out","输入/输出"
"Input entity code is not equal to entity adapter code","输入实体代码不等于实体适配器代码"
"Invalid entity","无效的实体"
"Invalid file format","无效的文件格式"
"Invalid parameters","无效的参数"
"Invalid seek position","无效的搜索位置"
"Invalid value for '%s'","无效值 '%s'"
"No filter data provided","没有过滤数据提供"
"No source specified","没有指定源"
"No valid data sent","没有有效的数据发送"
"No writer specified","没有制定作者"
"Node does not has model token tag","节点没有令牌标记"
"Not implemented yet","尚未实现"
"Please fix errors and re-upload file","请修复错误和重新上传文件"
"Please fix errors and re-upload file or simply press ""Import"" button to skip rows with errors","请修复错误和重新上传文件或按""导入""按钮跳过错误行"
"Some other FAQ","其他一些常见问题"
"Source file moving failed","源文件移动失败"
"Source file path must be a string","源文件的路径必须是字符串"
"Source is not set","没有指定源"
"Skip","跳过"
"Status","状态"
"System busy","系统繁忙"
"Select File to Import","选择文件导入"
"There are no product types available for export","没有商品类型可供导出"
"Total size of uploadable files must not exceed %s","可上传的文件的总大小不能超过  %s"
"Uploaded file has no extension","上传的文件没有扩展名"
"Validation Results","验证结果"
