"Action","操作"
"Add New Block","新建静态块"
"Add New Page","新建页面"
"All countries","所有国家"
"Anchor Custom Text","自定义文本"
"Anchor Custom Title","自定义标题"
"Are you sure you want to delete current folder?","你确定要删除当前文件夹?"
"Are you sure you want to delete the selected file?","你确定要删除选定的文件?"
"Block","静态块"
"Block Information","静态块信息"
"Block Title","标题"
"Block was successfully deleted","静态块已成功删除"
"Block was successfully deleted","成功删除静态块"
"CMS","内容管理"
"CMS Home Page","首页"
"CMS No Cookies Page","不支持Cookie页面"
"CMS No Route Page","缺少页面"
"CMS No-Route Page","No-Route页"
"CMS Page","页面"
"CMS Page Link","页面链接"
"CMS Page Link Block Template","页面链接块模板"
"CMS Page Link Inline Template","页面内联模板"
"CMS Pages (All)","页面(所有)"
"CMS Static Block","静态块"
"CMS Static Block Default Template","静态块默认模板"
"Cannot create new directory","不能创建新分类"
"Cannot delete directory %s","无法删除分类 %s"
"Cannot delete root directory %s","不能删除根分类 %s"
"Cannot upload file","不能上传文件"
"Collapse All","关闭所有"
"Content","内容"
"Content Heading","标题内容"
"Content Management","内容管理"
"Contents of a Static Block","静态快"
"Create Folder...","创建文件夹..."
"Custom Design","自定义设计"
"Custom Design From","生效时间"
"Custom Design To","失效时间"
"Custom Layout","自定义布局"
"Custom Layout Update XML","自定义XML布局"
"Custom Theme","选择模板"
"Customer Tax Class Information","自定义税率信息"
"Date Created","创建时间"
"Delete Block","删除"
"Delete File","删除文件"
"Delete Folder","删除文件夹"
"Delete Page","删除"
"Description","描述"
"Design","设计布局"
"Directory %s is not writable by server","分类 %s 是不可写的"
"Disabled","关闭"
"Disabled Completely","彻底禁用"
"Disabled by Default","默认情况下禁用"
"Edit Block","修改静态块"
"Edit Block '%s'","修改静态块'%s'"
"Edit Page","修改页面"
"Edit Page '%s'","修改页面'%s'"
"Enable WYSIWYG editor","启用高级编辑器"
"Enabled","启用"
"Enabled by Default","默认情况下启用"
"Error while saving Page. Please try again later.","保存页面时发生错误. 请稍后再试."
"Expand All","全部展开"
"General Information","基本信息"
"Go to Home Page","转到首页"
"Home","首页"
"ID","编号"
"Identifier","标识符"
"If empty, the Page Title will be used","如果为空, the Page Title will be used"
"Images (%s)","图片(%s)个"
"Insert File","插入文件"
"Invalid folder name. Please, use alphanumeric characters, underscores and dashes.","无效的文件夹名. 请使用字母和数字, 下划线和破折号."
"Keywords","关键字"
"Last Modified","最后修改"
"Layout","布局"
"Layout Update XML","布局更新(XML)"
"Link to a CMS Page","链接到一个CMS页面"
"Manage Pages","管理页面"
"Media Storage","多媒体储存"
"Meta Data","Meta 数据"
"Meta Description","Meta 描述"
"Meta Keywords","Meta 关键字"
"New Block","新块"
"New Folder Name:","新文件夹名:"
"New Page","新页面"
"No files found","没有找到文件夹"
"Page Information","页面信息"
"Page Layout","页面布局"
"Page Status","页面状态"
"Page Title","页面标题"
"Page URL Key cannot consist only of numbers.","URL Key不能紧由数字组成."
"An error occurred while saving the page.","保存页面出错."
"A page URL key for specified store already exists.","URL Key已经存在."
"Page URL Key for specified store already exist.","URL Key已经存在."
"Please enter a valid URL Key. For example ""example-page"", ""example-page.html"" or ""anotherlevel/example-page"".","请输入一个有效的URL Key.例如""example-page"",""example-page.html""或""anotherlevel/example-page""."
"Page was successfully deleted","成功删除页面"
"Page was successfully saved","成功保存页面"
"Pages","页面"
"Product Tax Class Information","商品税率信息"
"Redirect to CMS-page if cookies are disabled","如果缓存不可用，重定向到CMS-页"
"Relative to Website Base URL","相对于网站基础连接"
"Save Block","保存"
"Save Page","保存"
"Select Block...","选择静态块..."
"Select Page...","选择页面..."
"Show breadcrumbs for CMS pages","显示CMS页面路径"
"Show notice if JavaScipt is disabled","如果 JavaScipt 不能使用，显示提示"
"Static Blocks","静态块"
"Status","状态"
"Storage Root","储存根"
"Store View","商店界面"
"Such a block identifier in selected store already exist.","选择商店的块标识符已存在。"
"Such directory already exists. Try another folder name","已经存在的分类. 请尝试其他的文件名"
"Template","模板"
"The page you are trying to save no longer exists","这个你要保存的页面已不存在"
"The page URL key cannot consist only of numbers.","URL key不能只使用数字"
"This Block no longer exists","这个块不存在"
"This block no longer exists","这个块不存在"
"The page has been saved.","页面保存成功。"
"This page no longer exists","该页面不存在"
"Title","标题"
"URL Key","URL Key"
"Unable to find a block to delete","没有找到要删除的块"
"Unable to find a page to delete","没有找到要删除的页面"
"WYSIWYG Options","高级编辑器设置"
"Insert Widget...","插入部件..."
"Insert Image...","插入图片..."
