"Reward Points","积分"
"Reward Points Set","积分设置"
"RewardPoints Exchange","积分兑换"
"Remark","备注"
"Reward Points Detailed List","积分清单"
"Serial Number","流水号"

"Use of points to buy the product","使用积分购买商品"
"Unit amount of exchange rate","单位金额兑换率"
"One yuan currency exchange points","一元货币可兑换积分"
"Minimal use of rewardPoints","最小使用积分"
"Use of points, at least for 0 or empty would say no minimum limit","最少使用积分,为0或空则认为没有最小限制"

"Totals points","总计积分"
"Total Points","累计积分"
"Available Points","可用积分"
"Used Points","已用积分"
"Use Points","使用积分"
"Cancel Points","取消积分"
"Points Discount","积分折扣"
"Points of discount","其中积分折扣"
"Discount the amount","折扣金额"
"Discount the amount %s","折扣金额 %s"
"Can discount the amount of","可折扣金额"
"Can discount the amount of %s","可折扣金额  %s"
"The use of points %s","本次使用积分 %s"

"RewardPoints Info","积分信息"
"Gift Points","赠送积分"
"Upgrade Settings","升级设置"
"Profit Settings","自动赠送积分"
"Customer group upgrade","客户分组升级"
"Points upgrade","积分升级"
"Score Points","获得积分"
"Consume Points","消耗积分"
"Input required.","积分输入框必填"
"Remark required.","备注必填"
"Please enter an integer.","积分输入框请输入一个数字."
"Administrator (%s) modify %s: %s","管理员(%s)修改 %s: %s"
"Limit Amount","限购"
"Points","积分"
"Zero or empty says don't do limit.","零或空表示不做数量限制."

"Customer Account Points","客户账户积分"
"Points/Percentage","积分/百分比"
"Fixed Points","固定积分"
"Element control error.","元素控件错误."
"Please select operator.","请选择操作符."
"RewardPoints Exchange","积分兑换"
"New Record","新记录"
"Edit Record","编辑记录"
"Edit Record '%s'","编辑记录  '%s'"
"Has chosen the quantity of a commodity","已选择商品数量"
"This module is not enabled.","该模块还未启用."
"Please choose to exchange of commodities.","请选择要兑换的商品."
"You can not enough to pay the consumption scores order.","您的可消费积分不足以支付本次订单."
"You can be insufficient points of consumption.","您的可消费积分不够."
"Please carefully check your exchange information, according to a needless trouble.","请认真核对您的兑换信息，以免照成不必要的麻烦."
"The product already exists.","该商品已经存在."
"The product already exists, if need to edit please click %s.","该商品已经存在, 如需编辑请点击 %s."
"Please log on exchange products.","请登录后兑换商品."
"Select points goods","选择积分商品"
"Goods Code","商品编码"
"Product Code","商品编码"
"Required points","所需积分"

"Globals Settings","全局设置"
"Fixed points","固定积分"
"The percentage of the price","按原价百分比"
"The percentage of final price","按最终价格百分比"
