"# of Use","使用次数"
"%1$s incl tax.","%1$s 含杂费。"
"%s - %s","%s - %s"
"%s Item(s)","%s件商品"
"(%d)","(%d)"
"(Copy data from: %s)","(复制数据自: %s)"
"(Will make search for the query above return results for this search.)","(该搜索将以上面返回的结果来查询。)"
"* Required Fields","必填栏目"
"-- Please Select --","-- 请选择 --"
"A name is required","名字必填"
"ALL GROUPS","所有分组"
"AM","AM"
"Action","操作"
"Add Attribute","增加属性"
"Add Design Change","增加界面模版"
"Add Group","增加分组"
"Add New","增加"
"Add New Attribute","增加新属性"
"Add New Attribute Set","增加新属性组"
"Add New Group","增加新分组"
"Add New Images","增加新图片"
"Add New Option","添加新的选项"
"Add New Row","添加新行"
"Add New Search Term","增加新搜索关键词"
"Add New Set","增加属性组"
"Add Product","增加商品"
"Add Product To Websites","增加商品到网站"
"Add Root Category","新建根分类"
"Add Subcategory","添加分类"
"Add Tax","添加杂费"
"Add Tier","增加层次"
"Add to Cart","加入购物车"
"Add to Compare","加入比较"
"Add to Wishlist","加入收藏"
"Additional Information","附加信息"
"Alert Urls","报错网址"
"All","所有"
"All Product Types","所有商品类型"
"All products of this set will be deleted! Are you sure you want to delete this attribute set?","所有使用此属性组的商品都会被删除！您确定要删除此属性组吗？"
"Allow HTML-tags on Front-end","允许前台使用HTML标记"
"Allowed File Extensions","允许文件后缀"
"Allowed file extensions to upload","允许上传文件后缀"
"Amount","数量"
"Allowed file extensions to upload","允许上传文件的扩展名"
"Anchor Custom Text","自定义文本"
"Anchor Custom Title","自定义标题"
"Apply To","应用于"
"Approved","已批准"
"Are you sure you want to delete this category?","您确定要删除该分类吗？"
"Are you sure you would like to remove all products from your comparison?","您确定要从比较商品中删除所有商品吗？"
"Are you sure you would like to remove this item from the compare products?","您确定要从比较商品中删除本商品吗？"
"Are you sure?","您确定吗？"
"As low as:","低至："
"Assign","指定"
"Assign product link","指定商品链接"
"Assign product to category","添加商品到分类"
"Associated Products","关联商品"
"Attrib. Set Name","属性组名称"
"Attrib. Set Name","属性组名"
"Attribute ""%s"" is required","属性 ""%s"" 为必选项"
"Attribute Information","属性信息"
"Attribute Model","属性型号"
"Attribute Name:","属性名称："
"Attribute Properties","属性"
"Attribute Set","属性组"
"Attribute Set no longer exists.","属性组已经不存在."
"Attribute Set successfully saved.","属性设置保存成功."
"Attribute group with the \"/name/\" name already exists","名为 \"/name/\" 的属性组已存在"
"Attribute model not defined","属性型号未定义"
"Attribute with the same code already exists","属性代码已存在"
"Attributes","属性"
"Attrribute names can be specified per store.","同一属性可为每一个商店指定不同的名称。"
"Autogenerate","自动生成"
"Availability","库存"
"Back","返回"
"Backend Model","后台型号"
"Backend Table","后台表"
"Backend Table Title","后台表标题"
"Backorders","缺货订单"
"Base directory to upload image file is not specified","没有设定上传图片文件的基准分类"
"Based On","基于"
"Best Value","超值"
"Block after Info Column","信息栏之后的区块"
"Bottom Block Options Wrapper","Bottom Block Options Wrapper"
"Bottom/Left","左下"
"Bottom/Right","右下"
"Browse By","查看"
"Buy %1$s for %2$s","一次购买 %1$s，每件 %2$s"
"Buy %1$s for %2$s (%3$s incl. tax) each","一次购买 %1$s，每件仅需 %2$s (%3$s 含杂费)"
"Buy %1$s for %2$s each","一次购买 %1$s，每件仅需 %2$s"
"Can be used only with catalog input type Dropdown","仅用于分类下拉菜单"
"Can be used only with catalog input type Dropdown, Multiple Select and Price","仅用于分类下拉菜单、多重选择和价格"
"Can\'t create image.","无法创建图片。"
