" was not delivered nor scanned","没有交货也未检查"
"1 Day Freight","一日内送达"
"2 Day Freight","两日内送达"
"2Day","两天"
"2nd Day Air","两日空运送达"
"2nd Day Air AM","两日空运上午送达"
"2nd Day Air AM Letter","两日空运上午送达信件"
"2nd Day Air Letter","两日空运送达信件"
"3 Day Freight","三日内送达"
"3 Day Select","三日内送达"
"Access ID","访问编号"
"Access license number","访问许可号"
"Account ID","帐号"
"Account number","帐号"
"Additional Protection Configuration Value","Additional Protection Configuration Value"
"Additional Protection Enabled",启用附加保护"
"Additional Protection Min Subtotal","Additional Protection Min Subtotal"
"Additional Protection Configuration Value","额外保护配置值"
"Additional Protection Enabled","启用额外保护"
"All Services","所有服务"
"Allowed methods","可选发货方式"
"Bound Printed Matter","包装材料"
"Business Service Center","商务服务中心"
"Calculate Handling Fee","计算手续费"
"Canada Standard","加拿大标准"
"Cannot retrieve shipping rates","无法获取运费费率"
"Commercial","商业"
"Configuration","配置"
"Container","包装"
"Customer Packaging","客户包装"
"DHL","DHL"
"Default Package Height","默认包裹高度"
"Default Package Length","默认包裹长度"
"Default Package Width","默认包裹宽度"
"Delivered","已交货"
"Destination type","目的地类型"

"Development","进展"
"Displayed Error Message","显示错误信息"
"Domestic Shipment Days","国内配送日"
"Drop Box","收件箱"
"Dropoff","收货"
"Empty response","空回复"
"Enable Negotiated Rates","启用协定比率"
"Enabled","启用"
"Enables/Disables SSL verification of Magento server by UPS","启用/禁用的SSL验证Makingware服务器的UPS"
"Error #%s : %s (%s)","错误号%s : %s (%s)"
"Error #%s: %s","错误号%s: %s"
"Europe First Priority","欧洲第一优先"
"Express","快递"
"Express 10:30 AM","上午10:30 快递"
"Express Mail","快递邮件"
"Express Saturday","周六快递"
"Express Saver","优捷快递"
"Failed to parse xml document: %s","无法解析XML: %s"
"FedEx","FedEx"
"FedEx 10kg Box","FedEx10公斤快递箱"
"FedEx 25kg Box","FedEx25公斤快递箱"
"FedEx Box","FedEx快递盒"
"FedEx Envelope","FedEx快递封"
"FedEx Pak","FedEx快递袋"
"FedEx Tube","FedEx快递筒"
"First Overnight","次晨达"
"First-Class","快件"
"Flat","固定的"
"Flat-Rate Box","固定运费盒子"
"Flat-Rate Envelope","固定运费信封"
"Free method","免运费方式"
"Free shipping with minimum order amount","免运费订单最小金额"
"Gateway URL","网关地址"
"Gateway XML URL","网关 XML URL"
"Ground","陆运"
"Ground Commercial","商务陆运"
"Ground Residential","住宅陆运"
"Handling Applied","手续费基准"
"Handling fee","手续费"
"Home Delivery","国内配送"
"International Economy","国际经济"
"International Express","国际快递"
"International First","国际第一"
"International Priority","国际快件"
"International Shipment Days","国际配送日"
"Intl Economy Freight","国际经济运输"
"Intl Priority Freight","国际优先运输"
"Invalid DHL XML code for type %s: %s","DHL XML 代码不正确，类型 %s: %s"
"Invalid DHL XML code type: %s","DHL XML 代码类型不正确：%s"
"Invalid FedEx XML code for type %s: %s","FedEx XML 代码不正确，类型 %s: %s"
"Invalid FedEx XML code type: %s","FedEx XML 代码类型不正确：%s"
"Invalid UPS CGI code for type %s: %s","UPS CGI 代码不正确，类型 %s: %s"
"Invalid UPS CGI code type: %s","UPS CGI 代码类型不正确：%s"
"Invalid USPS XML code for type %s: %s","USPS XML 代码不正确，类型 %s: %s"
"Invalid USPS XML code type: %s","USPS XML 代码类型不正确：%s"
"Kilograms","千克"
"Large","大件"
"Letter","信件"
"Library","库"
"Live","Live"
"Machinable","电脑可读"
"Maximum Package Weight (Please consult your shipping carrier for maximum supported shipping weight)","最大包裹重量（请咨询配送公司）"
"Media Mail","媒体邮件"
"Minimum order amount for free shipping","免运费的最低订单金额"
"Mode","Mode"
"Next Afternoon","隔日下午"
"Next Day Air","隔日空运送达"
"Next Day Air Early AM","隔日空运早上送达"
"Next Day Air Early AM Letter","隔日空运早上送达信件"
"Next Day Air Intra (Puerto Rico)","国内隔日空运送达 (波多黎各)"
"Next Day Air Letter","隔日空运送达信件"
"Next Day Air Saver","经济型隔日空运送达"
"Next Day Air Saver Letter","经济型隔日空运送达"
"No","否"
"Non-rectangular","非矩形"
"Order","订单"
"Origin of the shipment","发货地点"
"Oversize","超大"
"Package","包裹"
"Package Description","包裹说明"
"Packaging","包装"
"Parcel","包裹"
"Parcel Post","邮包"
"Password","密码"
"Pickup method","取货方式"
"Please enter the package weight","请输入包裹重量"
"Please make sure to use only digits here. No dashes are allowed.","只允许使用数字。不可以使用破折号"
"Pounds","磅"
"Priority Mail","快件"
"Priority Overnight","次晨达快件"
"Receiver","收货人"
"Rectangular","矩形"
"Regular","普通"
"Regular Pickup","普通取件"
"Request Courier","申请快递"
"Residential","住宅的"
"Residential Delivery","送货上门"
"Response is in the wrong format","回复格式不正确"
"Round","四舍五入"
"Second Day Service","次日服务"
"Sender","发货人"
"Ship to Specific countries","发货到指定国家"
"Ship to applicable countries","发货到适用国家"
"Shipment Contains Hazardous Materials","危险品配送"
"Shipment Dutiable","关税"
"Shipment Duty Payment Type","关税支付类型"
"Shipment is not available.","不能发货。"
"Shipment picked up","配送收货"
"Shipment type","配送类型"
"Shipper Number","发货人编号"
"Shipping key","发货密钥"
"Shipping key (International)","发货密钥 (国际)"
"Show method if not applicable","显示所有方式"
"Size","尺寸"
"Sort order","排序"
"Standard Overnight","标准次晨达"
"Station","邮局"
"Subtotal","总额"
"Subtotal With Discount","折扣后总额"
"There is no available method for selected shipping address.","所选收货地址没有可用的配送方式。"
"Third Party","第三方"
"Title","标题"
"To lower","舍去小数"
"To upper","舍去小数并进位"
"Tracking XML URL","查询 XML URL"
"UPS","UPS"
"UPS Expedited","UPS 全球快捷"
"UPS Express","UPS 全球特快"
"UPS Express Box","UPS 特快箱"
"UPS Express Early A.M.","UPS 清早特快"
"UPS Express Plus","UPS 特快加急"
"UPS Ground","UPS 陆运"
"UPS Letter Envelope","UPS 信封"
"UPS Next Day Air","UPS 隔日空运送达"
"UPS Next Day Air Early A.M.","UPS 隔日空运清晨送达"
"UPS Next Day Air Saver","UPS 优捷隔日空运送达"
"UPS Saver","UPS 经济型快递"
"UPS Second Day Air","UPS 两日空运送达"
"UPS Second Day Air A.M.","UPS 两日空运清晨送达"
"UPS Standard","UPS 标准快递"
"UPS Three-Day Select","UPS 三日内送达"
"UPS Today Dedicated Courrier","UPS 当日特快邮件"
"UPS Today Express","UPS 当日送达快递"
"UPS Today Express Saver","UPS 当日送达优捷快递"
"UPS Today Intercity","UPS 当日送达同城快递"
"UPS Today Standard","UPS 当日标准特快"
"UPS Tube","UPS 快递筒"
"UPS Worldwide 10 kilo","UPS 全球快递10公斤"
"UPS Worldwide 25 kilo","UPS 全球快递25公斤"
"UPS Worldwide Expedited","UPS 全球快捷"
"UPS Worldwide Express","UPS 全球特快"
"UPS Worldwide Express Plus","UPS 全球特急快递"
"UPS Worldwide Express PlusSM","UPS 全球特快加急"
"UPS type","UPS 类型"
"USPS","USPS"
"Unable to retrieve tracking","无法查询"
"United Parcel Service","UPS联合包裹"
"United Parcel Service XML","UPS联合包裹XML"
"Unknown error","未知错误"
"Used only when 'Additional Protection Value' is set to 'Configuration'. Can contain only numeric amount.","只在“额外保护价格”设置为“配置值”时有效。只允许数字。"
"User ID","用户编号"
"UserId","用户编号"
"Variable","可变的"
"Weight Unit","重量单位"
"Worldwide Expedited","全球蓝色捷运"
"Worldwide Express","全球特快"
"Worldwide Express Letter","全球快递信件"
"Worldwide Express Plus","全球特急快递"
"Worldwide Express Plus Letter","全球特急快递信件"
"Worldwide Express Saver","全球速快"
"Yes","是"
"Your Packaging","您的包装"
