"(Make sure you keep it in a safe place.)","(请保存在安全的地方。)"
"(Optional. Leave blank for no prefix)","(可选，留空为不要前缀)"
"(ver. %s)","(版本 %s)"
"Additional path added after Base URL to access your Administrative Panel (e.g. admin, backend, control etc.).","添加于基本URL之后的路径，用于访问您的管理面板（例如, admin, backend, control 等）"
"Admin Path","管理路径"
"After successfull installation please click the button below.","成功安装后，请点下面的按钮。"
"All packages were installed successfully, click 'Ok' to continue with installation","所有安装包已成功安装，点击'Ok'继续安装"
"Alternatively you could try the 'Manual Downloads and Upgrades' method.","您也可以试试'手工下载和升级'。"
"Base URL","网址"
"Before you continue to your store, please make a note of your encryption key (Magento uses it to encrypt passwords, credit cards and more).","在转到您的商店前，请记下您的密钥(Makingware用此密钥加密密码、信用卡号等)。"
"Before you continue to your store, please make a note of your encryption key (Makingware uses it to encrypt passwords, credit cards and more).","在转到您的商店前，请记下您的密钥(Makingware用此密钥加密密码、信用卡号等)。"
"Check out our","试试"
"Check this box only if it is not possible to automatically validate Base URL.","仅在无法自动检验基准 URL 时选择此项。"
"Check this box only if it is not possible to automatically validate Secure URL, for example if HTTP authentication is required.","仅当无法自动校验安全网址时，才选择该方框。例如，如果需要HTTP认证。"
"Choose this if you would like to test frontend and backend functionality.","如果您想测试前台和后台功能，选择该项。"
"Configuration","配置"
"Confirm Password","确认密码"
"Connection","连接"
"Continue","继续"
"Continue After Manual Download","下载文档后继续"
"Continue Full Download / SVN Installation","完整下载/ SVN 安装"
"Create Admin Account","创建管理员帐号"
"Currently this is the most stable state available for Magento packages.","这是目前最稳定的Makingware安装包。"
"Database","数据库"
"Database Connection","数据库连接"
"Database Name","数据库名"
"Database connection error.","数据库连接错误"
"Database host","数据库主机"
"Database server does not support InnoDB storage engine","数据库服务器不支持InnoDB存储引擎"
"Database server version does not match system requirements (required: %s, actual: %s)","数据库服务器版本不符合系统需求（要求版本：%s,当前版本：%s）"
"Database user name","数据库用户名"
"Database user password","数据库密码"
"Default Currency","默认货币"
"Download","下载"
"Download Magento Core Modules and Updates","下载Makingware核心模块并更新"
"Downloading and installing Magento, please wait...","正在下载和安装Makingware，请稍候..."
"Email","电子邮件"
"Email Address","电子邮件地址"
"Enable this option only if you have SSL available.","仅当您有SSL时，打开该选项。"
"Encryption Key","密钥"
"File System","文件系统"
"First Name","名字"
"Full Download / SVN Installation","完全下载 / SVN 安装"
"Get ready to experience Open-Source eCommerce Evolved.","准备好体验全新的电子商务系统。"
"Go to Backend","后台"
"Go to Frontend","前台"
"Having trouble installing Magento?","安装Makingware有问题吗？"
"Having trouble installing Makingware?","安装Makingware有问题吗？"
"Help Us to Keep Makingware Healthy","帮助我们改善Makingware"
"Host","主机"
"I agree to the above terms and conditions.","我同意以上条款"
"If you are a developer and would like to have the latest public updates, choose this option.","如果您是程序员，希望获得最新更新，请选择该项"
"If you are running PHP as CGI, your PHP processes may run under the same user as the user you used when uploading Magento files.","如果以CGI方式运行PHP，您的PHP进程用户可能于您上传Makingware文件的用户名一样。"
