"The customer doesn\'t exist in the system anymore","该客户已不存在系统中"
"%s coupon code is not valid.","%s 优惠券代码不正确。"
"%s","%s"
"%s / %s rate:","%s / %s 比例："
"%s for %s","%s for %s"
"%s order(s) can not be canceled","%s 个订单不能取消"
"%s order(s) not put on hold","%s 个订单锁定失败"
"%s order(s) not released from holding status","取消 %s 个订单的锁定状态操作失败"
"%s order(s) successfully canceled","成功取消 %s 个订单"
"%s order(s) successfully put on hold","成功锁定 %s 个订单"
"%s order(s) successfully released from holding status","成功取消 %s 个订单的锁定状态"
"* - Enter custom price excluding tax","* - 输入自定义价格（不含税）"
"* - Enter custom price including tax","* - 输入自定义价格（含税）"
"About This Order:","关于此订单："
"About Your Order","关于您的订单"
"Account Information","帐号信息"
"Action","操作"
"Actions","操作"
"Add","添加"
"Add Gift Messsage","添加礼物留言"
"Add New Address","添加新地址"
"Add Order Comments","添加订单备注"
"Add Products","添加商品"
"Add Selected Product(s) to Option","添加所选商品到选项"
"Add Selected Product(s) to Order","添加所选商品到订单"
"Add To Order","添加到订单"
"Add Tracking Number","增加运单号"
"Add a gift message for <strong>each gift item</strong>","增加<strong>每件礼物</strong>的礼物留言"
"Add a gift message for the <strong>entire order</strong>","增加<strong>整个订单</strong>的礼物留言"
"Add comment to order","添加订单备注"
"Add new comment to shipment","添加新的配送备注"
"Add new tracking number","添加新的运单号"
"Add to Cart","加入购物车"
"Address","地址"
"Address model is not defined","没有定义地址模块"
"Address total model should be extended from Mage_Sales_Model_Quote_Address_Total_Abstract","地址模块必须从 Mage_Sales_Model_Quote_Address_Total_Abstract扩展而来"
"Adjustment Fee","差价"
"Adjustment Refund","差价退款"
"Allow Reorder","允许重下订单"
"Amount","金额"
"Amount of %s pending approval on gateway.","金额%s等待网关确认."
"Amount: %s.","金额: %s."
"Append Comments","增加备注"
"Apply","应用"
"Apply Coupon Code","使用优惠券"
"Are you sure you want to cancel this order?","您确认要取消该订单吗？"
"Are you sure you want to send Creditmemo email to customer?","确定发送付款通知邮件给客户？"
"Are you sure you want to send Invoice email to customer?","确定发送发票邮件通知给客户？"
"Are you sure you want to send Shipment email to customer?","确定发送运输方式邮件通知给客户？"
"Are you sure you want to send order email to customer?","确定发送订单邮件通知给客户？"
"Are you sure you want to void the payment?","确定允许任意付款方式吗？"
"Are you sure?","您确认吗？"
"Are you sure? This order will be canceled and a new one will be created instead","您确认吗？该订单将被取消并会生成新订单"
"Are you sure? This order will be cancelled and a new one will be created instead","您确认吗？该订单将被取消并会生成新订单"
"At least a payment ID must be set.","至少需要设置一个payment ID"
"Authorization amount %s pending approval on gateway.","授权金额%s 等待网关确认."
"Authorized amount of %s.","授权金额 %s."
"Back to My Orders","返回我的订单"
"Backordered","缺货订单"
"Bill to First name","账单名字"
"Bill to Last name","账单姓氏"
"Bill to Name","购买人"
"Billing Address","账单地址"
"Buy %s for price %s","购买 %s每件%s"
"Can not add order history.","无法增加订单日志。"
"Can not do invoice for order.","无法为订单生成发票"
"Can not do shipment for order.","无法执行订单配送。"
"Can not register existing shipment","无法登记已有配送"
"Can\'t get order instance","无法获取订单实例"
"Cancel","取消"
"Cancel invoice","取消发票"
"Cancel order","取消订单"
"Canceled","已取消"
"Cancelled order offline.","取消订单不可见."
"Cancelled order online.","取消订单可见"
"Cannot create an empty shipment.","无法创建空配送记录"
"Cannot register existing creditmemo","无法登记已有付款"
"Cannot register existing invoice","无法登记已有发票"
"Capture","接收"
"Capture Amount","接收金额"
"Capture Offline","离线接收"
"Capture Online","在线接收"
"Capture invoice","自动生成发票"
"Captured amount of %s online.","成功在线收款 %s"
"Carrier","快递公司"
"Change Status","更改状态"
"Change status, add comments","更改状态，添加备注"
"Checkout totals sort order","总额计算顺序"
"Click to change shipping method","点击修改配送方式"
"Close","关闭"
"Closed","关闭"
"Comment","备注"
"Comment Text","备注文字"
"Comments","备注"
"Comments History","备注历史"
"Complete","完成"
"Country","国家"
"Coupon code accepted.","优惠码正确."
"Coupons","优惠券"
"Create","创建"
"Create New Customer","新建客户"
"Create New Order","新建订单"
"Create New Order for %s","创建%s的订单"
"Create New Order for %s in %s","创建%s的新订单于%s"
"Create New Order for New Customer","创建新客户的订单"
"Create New Order for New Customer in %s","创建新客户的订单于%s"
"Create Shipment","创建配送记录"
"Create new invoice for order","创建订单发票"
"Create new shipment for order","创建订单配送记录"""
"Created At","创建于"
"Credit Memo","退款"
"Credit Memo #","退款记录 #"
"Credit Memo # ","退款记录 #"
"Credit Memo Comment Email Sender","退款记录备注邮件发件人"
"Credit Memo Comment Email Template","退款记录备注邮件模板"
"Credit Memo Comment Email Template for Guest","访客退款记录备注邮件模板"
"Credit Memo Comments","退款记录备注"
"Credit Memo Email Sender","退款记录邮件发件人"
"Credit Memo Email Template","退款记录邮件模板"
"Credit Memo Email Template for Guest","访客退款邮件模板"
"Credit Memo Update","退款记录更新"
"Credit Memo Update for Guest","访客退款记录更新"
"Credit Memo email not sent","未发送退款记录邮件"
"Credit Memo email sent","已发送退款记录邮件"
"Credit Memo...","退款"
"Credit Memos","退款记录"
"Creditmemo","退款记录"
"Custom Options","自定义选项"
"Custom Price","自定义价格"
"Custom Value","自定义值"
"Customer","客户"
"Customer Group","客户分组"
"Customer My Account Order Creditmemo View","客户订单付款显示"
"Customer My Account Order History","客户订单历史"
"Customer My Account Order Invoice View","客户订单发票显示"
"Customer My Account Order Shipment View","客户运输显示"
"Customer My Account Order View","客户订单显示"
"Customer Name","客户姓名"
"Customer Email","客户邮件"
"Customer's Current Activities","客户当前活动"
"Customer\'s Current Activities","客户当前活动"
"Date","日期"
"Date Shipped","发货日期"
"Date of Birth","出生日期"
"Default logo, will be used in PDF and HTML documents.<br />(jpeg, tiff, png)","缺省 logo, 将用于 PDF 和 HTML 文档。<br />(jpeg, tiff, png)"
"Delete","删除"
